%eval_id interface log__t_recession_soil log__t_recession_intermediate log__t_recession_deep f_exfiltration_soil f_exfiltration_intermediate PDD_melt_factor recession_b_soil log__fdd_threshold neg_kge        
189      I1         2.312378978    3.573706224    3.547597908    0.1033801179   0.5735897937   9.053510048    5.538267229    0.9032487203   0.5374849084   
190      I1         1.972759027    2.283806455    4.876129323    0.7994510876   0.9325752491   9.442576294    3.384824075    1.771597677    1.946035415    
191      I1         3.588108428    2.801482724    4.466576706    0.4439054183   0.8604976298   0.3257977483   2.322790036    1.26336092     1.542241147    
192      I1         3.156611444    1.300728597    4.696387178    0.676848485    0.2576233267   3.876418288    2.164128346    0.2619529614   1.847437172    
193      I1         2.549328745    1.924241645    4.803329782    0.6064637601   0.3632845532   2.456995337    3.630755652    0.6780633394   1.823524776    
194      I1         4.436827096    1.876081954    4.749826419    0.04631572826  0.06917312631  0.803349096    5.364818061    1.102627846    1.67693623     
195      I1         3.132454766    1.69680791     4.613278452    0.4393065005   0.5642428646   3.940408519    1.780331469    0.637250079    1.824159987    
196      I1         1.662559596    3.29073733     4.287288904    0.8661838949   0.5233939486   8.584118857    2.328993377    0.6029548605   0.6749411634   
197      I1         1.451776329    1.045653319    4.204704216    0.9243459712   0.6635464248   0.6846961195   3.973540063    1.343975291    0.8929984282   
198      I1         4.311925999    2.115975194    4.059570044    0.5763089343   0.9883526835   2.837997409    2.302548831    2.216826403    1.133468572    
199      I1         2.47219121     3.150288492    4.498427653    0.9698528934   0.1790726062   5.318249909    4.082003247    0.8514384187   1.274560966    
200      I1         2.172866915    3.897384818    3.568370574    0.2212320219   0.8581902132   2.418285222    4.171200426    2.436065393    0.4728745534   
201      I1         3.98176549     2.229278907    3.879697913    0.2089163743   0.3909964414   4.365068302    3.268998632    0.3373427054   0.7407216486   
202      I1         3.210109622    3.608651252    4.354930306    0.5665403297   0.8994223175   0.5155318816   2.452374947    0.8113180241   1.120144565    
203      I1         3.70606967     3.27727616     4.955519155    0.2257529178   0.5982216018   7.789316642    2.564374013    2.831380021    1.974051305    
204      I1         4.192509794    1.5685339      3.920320274    0.5227558373   0.6290082472   4.058018758    5.689090775    2.251873656    0.2109665693   
205      I1         4.163086147    2.870229406    4.734102797    0.2605007178   0.6908226698   9.893005244    4.868591802    1.993753293    1.837093461    
206      I1         1.091308422    3.195620954    4.726614607    0.2398713653   0.8255057529   7.064042437    5.299916979    0.5350828349   1.949914723    
207      I1         2.794185572    2.482466686    4.760692807    0.1717771929   0.3434151444   6.216627951    4.66716185     1.609373634    1.766072987    
208      I1         2.711666021    1.840811179    4.595898833    0.3991976672   0.1985287257   2.025216672    1.71652321     2.090616315    1.643839026    
209      I1         2.029221084    1.424674845    4.895590538    0.7740396554   0.1376139005   6.352420219    5.559359306    2.567535071    1.916745234    
210      I1         1.770287889    1.333712251    3.700436094    0.3205776368   0.4067010932   5.162715657    1.967081045    0.9507995359   0.4067917419   
211      I1         1.573175337    1.284358905    4.552598493    0.0138220575   0.1952555708   3.91128993     1.991011942    2.315740719    1.481723425    
212      I1         3.335617608    1.582951708    4.712640556    0.7860742005   0.1890601572   1.593846828    3.057735301    1.670812587    1.780381288    
213      I1         1.882654729    3.364974735    4.79764427     0.2674938073   0.4780046208   1.276621057    3.404267767    2.041426139    1.861153138    
214      I1         2.069117721    1.700192979    4.189859384    0.3947952275   0.07719894133  6.766951214    2.905515093    2.968189388    0.5675656884   
215      I1         4.121041249    1.950531088    4.813945162    0.3438077843   0.5544699285   8.960502068    5.21746046     0.5822012304   1.846189243    
