%eval_id interface log__t_efold_shallow log__t_efold_soil log__t_efold_karst f_exfiltration_shallow f_exfiltration_soil PDD_melt_factor log__Hmax_shallow log__fdd_threshold f_direct_runoff log__routing_K neg_kge        
27       I1         1.681532474    1.655148762    4.244123627    0.6891905616   0.9145586888   6.002778232    2.304546321    1.374013858    0.2868994948   0.2916516117   0.4336094765   
28       I1         1.453500029    1.74734508     3.239729348    0.04624513343  0.9554539488   6.251763132    2.345952424    1.270339628    0.06896564158  -0.4473377488  0.6995257427   
29       I1         0.9430770165   2.488288281    2.610208957    0.1431957361   0.09676746852  7.873275089    1.584984229    2.528967261    0.4137858471   -0.4306645188  0.744861714    
30       I1         0.3527387624   1.46124774     2.806236369    0.1991829632   0.799860378    3.635699302    2.693995187    1.824209946    0.4992495817   -0.3447059842  1.738993156    
31       I1         0.8414370897   1.836495014    3.030591996    0.8073782172   0.6491970592   2.320547786    3.091278636    2.714241011    0.3738048729   0.03849020072  1.101713988    
32       I1         1.960481221    2.057175774    3.583271132    0.7913672041   0.8236293767   6.197710501    3.14079486     2.83581464     0.1936117029   0.9777560008   0.7987797966   
33       I1         1.55234451     1.107859401    3.864345957    0.3576384864   0.2548298908   6.790676587    3.337371736    1.496446182    0.4886050151   0.07695197333  0.621085057    
34       I1         1.497551585    1.141502574    2.822218806    0.6011013242   0.9654515445   8.686609669    1.794421724    1.226732022    0.3270669549   -0.09652702728 0.6347685269   
35       I1         1.607192346    1.361384978    3.044128049    0.4397966583   0.2729843773   4.691825391    1.988281074    2.611612008    0.3632206911   -0.7542186101  0.6797224517   
36       I1         0.44767833     1.883261704    2.571287427    0.7261567476   0.1419592755   4.009172571    3.001111917    1.08415103     0.192397081    0.8311775617   0.4051846797   
37       I1         0.5219047772   2.093133211    3.46348914     0.113720066    0.9181502093   6.396943043    2.861752951    2.464125349    0.3799996565   -0.6233192396  0.8444554878   
38       I1         1.943173811    1.016417413    3.921895255    0.3600863832   0.4079067984   5.329205753    2.673346641    2.910728087    0.2654379785   -0.878236079   0.8277791296   
39       I1         1.591137745    1.749507082    2.644512462    0.5177268601   0.8757510767   7.715318932    1.440257593    2.557998548    0.3477509003   0.2071744931   0.4325186791   
40       I1         1.102904672    2.594635822    4.306825615    0.7997784599   0.07422057778  4.472067808    3.425336835    1.14706787     0.07055925439  -0.791859964   0.3476791791   
41       I1         1.195757245    1.487714046    3.592951777    0.5209092171   0.06154652329  2.551934855    2.052768736    1.934124662    0.07933667817  0.6510909115   0.572930509    
42       I1         0.3810226623   2.563298341    4.481868748    0.9538877546   0.7372736794   3.445593885    2.700210411    1.646602439    0.2886716652   -0.9044161408  2.952452642    
43       I1         1.891687544    1.355304279    4.034865254    0.5375843765   0.0894577734   9.1037054      1.455073717    1.442730482    0.2272442877   -0.7811938372  1.17189635     
